I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PO2 (atm),Power-Thermal (W)
45.2,54.220233961910225,0.39413259243698756,2445.6148074966845,54.106522289749655,2.0572591240397973,2.0338700018063065,2446.8331925033153
45.3,54.22003005517825,0.3941281309288603,2450.9977145703015,54.10590981391394,2.0570118373233837,2.033730383854016,2452.274285429698
45.4,54.219826126267506,0.39412367095488837,2456.3805087103933,54.10529754868708,2.0567645506069705,2.033590765901726,2457.7154912896062
45.5,54.219622175173,0.3941192125075738,2461.763189933308,54.10468549303973,2.0565172638905573,2.033451147949436,2463.156810066692
45.6,54.219418201889695,0.3941147555794668,2467.145758255284,54.10407364594921,2.056269977174144,2.0333115299971456,2468.5982417447162
45.7,54.2192142064126,0.3941103001631673,2472.528213692462,54.1034620063996,2.056022690457731,2.0331719120448555,2474.039786307538
45.8,54.21901018873668,0.3941058462513226,2477.9105562608756,54.102850573381566,2.055775403741318,2.0330322940925654,2479.4814437391237
45.9,54.21880614885691,0.3941013938366283,2483.292785976458,54.102239345892336,2.0555281170249042,2.0328926761402752,2484.9232140235413
46.0,54.218602086768286,0.39409694291182756,2488.6749028550416,54.10162832293569,2.055280830308491,2.032753058187985,2490.365097144958
46.1,54.218398002465776,0.3940924934697104,2494.056906912357,54.101017503521845,2.055033543592078,2.032613440235695,2495.807093087643
46.2,54.21819389594435,0.3940880455031133,2499.438798164034,54.10040688666739,2.0547862568756647,2.0324738222834045,2501.2492018359662
46.3,54.217989767199,0.39408359900491924,2504.820576625603,54.099796471395315,2.0545389701592516,2.0323342043311143,2506.6914233743964
46.4,54.21778561622468,0.39407915396805693,2510.202242312497,54.09918625673485,2.054291683442838,2.0321945863788247,2512.1337576875026
46.5,54.21758144301636,0.3940747103855002,2515.5837952400484,54.09857624172147,2.0540443967264252,2.032054968426534,2517.5762047599515
46.6,54.21737724756902,0.3940702682502684,2520.965235423493,54.09796642539685,2.0537971100100116,2.031915350474244,2523.018764576507
46.7,54.217173029877614,0.39406582755542535,2526.3465628779704,54.09735680680879,2.0535498232935985,2.031775732521954,2528.4614371220296
46.8,54.21696878993711,0.3940613882940788,2531.7277776185215,54.09674738501114,2.0533025365771853,2.0316361145696638,2533.904222381478
46.9,54.21676452774247,0.3940569504593809,2537.1088796600925,54.096138159063806,2.053055249860772,2.0314964966173736,2539.347120339907
47.0,54.21656024328866,0.39405251404452696,2542.4898690175355,54.095529128032666,2.052807963144359,2.0313568786650835,2544.7901309824642
47.1,54.21635593657064,0.39404807904275563,2547.8707457056053,54.09492029098949,2.052560676427946,2.031217260712793,2550.2332542943946
47.2,54.21615160758337,0.3940436454473482,2553.2515097389646,54.09431164701196,2.052313389711532,2.0310776427605033,2555.6764902610353
47.3,54.2159472563218,0.3940392132516285,2558.6321611321823,54.09370319518356,2.052066102995119,2.030938024808213,2561.119838867817
47.4,54.21574288278087,0.39403478244896206,2564.0126998997325,54.093094934593516,2.051818816278706,2.0307984068559226,2566.563300100267
47.5,54.21553848695556,0.39403035303275674,2569.393126056,54.09248686433684,2.0515715295622927,2.0306587889036325,2572.006873944
47.6,54.2153340688408,0.3940259249964611,2574.773439615275,54.09187898351418,2.0513242428458796,2.030519170951343,2577.450560384725
47.7,54.21512962843155,0.39402149833356515,2580.153640591758,54.09127129123183,2.051076956129466,2.0303795529990523,2582.8943594082416
47.8,54.21492516572275,0.39401707303759936,2585.5337289995587,54.090663786601645,2.050829669413053,2.030239935046762,2588.338271000441
47.9,54.21472068070935,0.3940126491021347,2590.913704852696,54.09005646874105,2.05058238269664,2.030100317094472,2593.7822951473036
48.0,54.214516173386286,0.3940082265207817,2596.2935681650997,54.08944933677291,2.0503350959802265,2.0299606991421815,2599.2264318349003
48.1,54.214311643748516,0.394003805287191,2601.6733189506103,54.08884238982558,2.0500878092638133,2.029821081189892,2604.6706810493893
48.2,54.214107091790964,0.3939993853950523,2607.0529572229807,54.08823562703279,2.0498405225474,2.0296814632376017,2610.1150427770194
48.3,54.21390251750857,0.39399496683809443,2612.4324829958728,54.0876290475336,2.0495932358309865,2.029541845285311,2615.5595170041265
48.4,54.21369792089628,0.3939905496100848,2617.811896282866,54.08702265047244,2.049345949114574,2.029402227333021,2621.0041037171336
48.5,54.21349330194902,0.3939861337048292,2623.1911970974497,54.08641643499896,2.04909866239816,2.0292626093807313,2626.44880290255
48.6,54.21328866066173,0.3939817191161715,2628.570385453026,54.085810400268024,2.048851375681747,2.0291229914284408,2631.893614546974
48.7,54.21308399702933,0.39397730583799306,2633.949461362913,54.08520454543969,2.048604088965334,2.0289833734761507,2637.338538637087
48.8,54.212879311046756,0.3939728938642131,2639.3284248403434,54.08459886967917,2.0483568022489207,2.0288437555238605,2642.7835751596563
48.9,54.212674602708944,0.39396848318878747,2644.707275898465,54.08399337215675,2.0481095155325075,2.0287041375715704,2648.2287241015347
49.0,54.2124698720108,0.3939640738057091,2650.0860145503393,54.083388052047745,2.0478622288160944,2.0285645196192803,2653.6739854496604
49.1,54.21226511894727,0.3939596657090074,2655.464640808948,54.08278290853254,2.0476149420996808,2.02842490166699,2659.119359191052
49.2,54.212060343513265,0.39395525889274796,2660.8431546871852,54.08217794079644,2.047367655383268,2.0282852837146996,2664.564845312815
49.3,54.211855545703706,0.39395085335103214,2666.2215561978637,54.0815731480297,2.0471203686668544,2.02814566576241,2670.0104438021353
49.4,54.21165072551351,0.3939464490779972,2671.5998453537163,54.08096852942746,2.0468730819504413,2.02800604781012,2675.4561546462833
49.5,54.21144588293759,0.39394204606781535,2676.97802216739,54.080364084189696,2.046625795234028,2.0278664298578293,2680.9019778326096
49.6,54.21124101797087,0.3939376443146943,2682.3560866514536,54.079759811521235,2.046378508517615,2.027726811905539,2686.3479133485466
49.7,54.21103613060827,0.39393324381287625,2687.7340388183934,54.07915571063165,2.0461312218012013,2.027587193953249,2691.793961181607
